id,type,subtype,class_grouped,n_obs_I,I_median,I_mean,V_minus_I,log_period,I_amp,log_period2,period_ratio,has_period2,I_p95_p5,I_mad,I_kurtosis
LMC562.14.6,ELL,,BINARY,344,14.483,14.484,1.4369999999999994,2.5185139398778875,0.02,,,0,0.02499999999999858,0.006000000000000227,-0.34599540405330353
LMC562.14.11085,ELL,,BINARY,345,17.887,17.88,1.0920000000000023,1.1735562812090892,0.15,,,0,0.1515999999999984,0.036000000000001364,-0.8250873746807326
LMC563.05.19,LPV,SRV,LPV,337,14.078,14.128,3.495000000000001,2.5809249756756194,0.473,2.403120521175818,0.6640419947506562,1,0.625,0.13199999999999967,-0.753570293432932
LMC562.14.288,ECL,,BINARY,344,17.375,17.4,-0.06799999999999784,0.587220283047874,0.371,,,0,0.2996500000000033,0.012000000000000455,5.041475020794907
LMC562.23.8,LPV,OSARG,LPV,311,14.717,14.719,1.8289999999999988,1.6217992240026677,0.027,1.808616035426992,1.537505972288581,1,0.0669999999999984,0.013999999999999346,0.6902221026969433
LMC563.13.523,ECL,,BINARY,337,17.701,17.735,0.958000000000002,-0.5627785207862811,0.859,,,0,0.7900000000000027,0.15700000000000003,-0.5790216917436326
LMC563.30.11315,DSCT,,PULS,331,20.465,20.414,0.46399999999999864,-1.106190540273498,0.432,,,0,0.730000000000004,0.1479999999999997,1.1056461810047646
LMC562.06.2934,ECL,,BINARY,344,19.7055,19.697,0.34800000000000253,0.5562819919325127,0.177,,,0,0.35595,0.0649999999999995,0.7563774446947704
LMC563.13.37,LPV,OSARG,LPV,337,14.88,14.88,1.5939999999999994,1.3381176914768582,0.007,1.7680458141024167,2.6910893816278745,1,0.0259999999999998,0.005000000000000782,-0.07979713815993339
LMC562.23.11506,LPV,OSARG,LPV,345,15.171,15.173,1.9979999999999993,1.52270499273475,0.026,1.3656190022545034,0.6964885954381753,1,0.0600000000000005,0.010999999999999233,-0.0907801562846644
LMC563.22.820,OTHER,,OTHER,335,18.351,18.344,-0.05600000000000094,0.3374512741922568,0.066,,,0,0.12600000000000122,0.02499999999999858,0.6485917586590899
LMC562.31.14329,OTHER,,OTHER,344,20.128500000000003,20.1,0.32599999999999696,-1.119169836272247,0.219,,,0,0.4637000000000029,0.09050000000000047,-0.14554839127030794
LMC562.06.10090,LPV,OSARG,LPV,341,15.243,15.244,1.5390000000000015,1.182528775278964,0.01,2.436162647040756,17.932212296374146,1,0.03300000000000125,0.006999999999999673,-0.05797564909516284
LMC562.06.11311,RRLYR,RRc,PULS,344,18.901,18.889,0.3500000000000014,-0.5536579675554671,0.314,,,0,0.35454999999999615,0.09849999999999959,-0.8269397338950157
LMC562.14.10485,LPV,OSARG,LPV,344,15.204,15.205,1.6349999999999998,1.1804699616591983,0.009,0.5229655954919865,0.22003695881731786,1,0.04100000000000037,0.008000000000000895,0.24415267427640863
LMC562.14.13464,ECL,,BINARY,345,19.738,19.741,0.07400000000000162,0.5226997790842249,0.498,,,0,0.5619999999999976,0.07400000000000162,1.7491310671081992
