id,ra,dec,type,subtype,I_mean,V_mean,period,I_amp,period2,class_grouped,n_obs_I,I_median,I_p95_p5,I_mad,I_kurtosis,V_minus_I,log_period,log_period2,period_ratio,has_period2,phot_I_path,phot_V_path,n_obs_I_phot,I_phot_mean,I_phot_median,I_phot_weighted_mean,I_phot_std,I_phot_mad,I_phot_p95_p5,n_obs_V,V_phot_mean,V_phot_median,V_phot_weighted_mean,V_phot_std,V_phot_mad,V_phot_p95_p5,V_minus_I_phot_mean,V_minus_I_phot_median,V_minus_I_phot_weighted_mean,ls_period_I,ls_log_period_I,ls_frequency_I,ls_power_I,ls_period_catalog_ratio,ls_log_period_delta_catalog
LMC563.11.529,05:55:39.49,-66:26:10.8,OTHER,,18.146,18.132,1.55018,0.061,,OTHER,336,18.148,0.10850000000000293,0.022999999999999687,0.1872508827532915,-0.013999999999999346,0.1903821294399793,,,0,OGLE4-GSEP-full\phot\I\LMC563.11.529.dat,OGLE4-GSEP-full\phot\V\LMC563.11.529.dat,336,18.14779761904762,18.148,18.145237601003878,0.03386136080414037,0.022999999999999687,0.10850000000000293,29,18.134068965517244,18.137,18.13301341190502,0.02670063005474225,0.022000000000002018,0.0724000000000018,-0.013728653530375112,-0.010999999999999233,-0.012224189098859028,1.550174827456168,0.19038068031085142,0.6450885295570158,0.42184224121018477,0.9999966632624393,-1.4491291278617702e-06
LMC563.20.6548,05:55:39.54,-65:57:08.0,LPV,SRV,13.657,16.274,157.0,0.104,205.1,LPV,337,13.562,0.3990000000000009,0.04800000000000004,-0.5639190008042076,2.617000000000001,2.1958996524092336,2.3119656603683665,1.3063694267515924,1,OGLE4-GSEP-full\phot\I\LMC563.20.6548.dat,,337,13.633866468842728,13.562,13.63386646884273,0.13328521815365585,0.04800000000000004,0.3990000000000009,0,,,,,,,,,,0.9981314272502526,-0.0008122699635718879,1.001872070850324,0.7017884447589733,0.0063575250143328215,-2.1967119223728053
LMC562.29.8912,05:55:39.74,-66:57:57.8,LPV,OSARG,15.243,16.797,29.31,0.007,37.61,LPV,344,15.243,0.022850000000000037,0.0039999999999995595,1.9491271435968627,1.5540000000000003,1.4670158184384354,1.5753033334223991,1.2831798021153191,1,OGLE4-GSEP-full\phot\I\LMC562.29.8912.dat,,344,15.242677325581395,15.243,15.242666666666667,0.0068790430761086685,0.0039999999999995595,0.022850000000000037,0,,,,,,,,,,0.5155420496338557,-0.28773590617256506,1.9397059865634863,0.05453197168245565,0.01758928862619774,-1.7547517246110005
LMC563.03.7866,05:55:39.88,-66:39:47.4,LPV,OSARG,15.125,16.662,16.833,0.006,190.9,LPV,337,15.123,0.03539999999999921,0.005000000000000782,0.706257629837185,1.536999999999999,1.2261615234231196,2.280805928393667,11.340818630071883,1,OGLE4-GSEP-full\phot\I\LMC563.03.7866.dat,,337,15.124373887240353,15.123,15.124373887240356,0.010251435760029333,0.005000000000000782,0.03539999999999921,0,,,,,,,,,,0.9934504332496499,-0.002853796498979537,1.0065927463828528,0.24611009367861134,0.05901802609455534,-1.229015319922099
LMC563.20.661,05:55:40.09,-66:05:29.5,ECL,,18.269,18.306,1.200842,0.103,,BINARY,336,18.266,0.1440000000000019,0.021000000000000796,1.2937738541154409,0.037000000000002586,0.079485869149649,,,0,OGLE4-GSEP-full\phot\I\LMC563.20.661.dat,,336,18.272901785714286,18.266,18.269031842766772,0.04153170912054248,0.021000000000000796,0.1440000000000019,0,,,,,,,,,,0.37480544277566197,-0.42619411108662514,2.668050902874816,0.23073694990457952,0.312118865575706,-0.5056799802362741
LMC563.20.8134,05:55:40.10,-65:59:33.1,DSCT,,19.916,20.329,0.0652021,0.234,,PULS,333,19.923,0.42299999999999827,0.08500000000000085,0.5213371443816301,0.41300000000000026,-1.1857384164808882,,,0,OGLE4-GSEP-full\phot\I\LMC563.20.8134.dat,,333,19.93048048048048,19.923,19.904173020225763,0.13070491370732135,0.08500000000000085,0.42299999999999827,0,,,,,,,,,,0.0652020839310767,-1.1857385235118822,15.336933111786307,0.3489241088915017,0.9999997535520591,-1.0703099406761396e-07
LMC563.03.8633,05:55:40.40,-66:39:23.0,RRLYR,RRab,18.681,19.23,0.6051891,0.469,,PULS,337,18.706,0.4565999999999981,0.11899999999999977,-1.0985458112702786,0.5489999999999995,-0.21810890261263569,,,0,OGLE4-GSEP-full\phot\I\LMC563.03.8633.dat,,337,18.693353115727003,18.706,18.661442158907295,0.14523680354802176,0.11899999999999977,0.4565999999999981,0,,,,,,,,,,1.532778409134979,0.18547937426344946,0.6524100248543744,0.44173480454263847,2.532726397641628,0.4035882768760851
LMC563.03.7862,05:55:40.49,-66:40:34.9,LPV,OSARG,14.927,16.639,22.071,0.013,412.0,LPV,337,14.927,0.03539999999999921,0.006999999999999673,-0.45901109128987505,1.7119999999999997,1.3438220107621615,2.6148972160331345,18.667029133251777,1,OGLE4-GSEP-full\phot\I\LMC563.03.7862.dat,,337,14.92702077151335,14.927,14.927020771513353,0.011026868511272799,0.006999999999999673,0.03539999999999921,0,,,,,,,,,,0.9955787155462545,-0.0019243967356238933,1.0044409190199688,0.22949125333012782,0.04510800215424107,-1.3457464074977854
LMC563.28.52,05:55:40.71,-65:51:08.0,LPV,OSARG,14.963,16.509,17.71,0.011,411.0,LPV,337,14.964,0.03399999999999892,0.006999999999999673,0.026913518118793167,1.5460000000000012,1.2482185611900747,2.6138418218760693,23.20722755505364,1,OGLE4-GSEP-full\phot\I\LMC563.28.52.dat,,337,14.963038575667655,14.964,14.963038575667655,0.010240631391597555,0.006999999999999673,0.03399999999999892,0,,,,,,,,,,0.49997595964035646,-0.30105087735706093,2.0000961660623076,0.2066235219986242,0.028231279482798223,-1.5492694385471357
LMC563.20.6638,05:55:41.52,-66:04:12.2,OTHER,,16.531,17.65,74.9,0.03,,OTHER,337,16.53,0.06099999999999994,0.012000000000000455,0.6901471410730329,1.1189999999999998,1.8744818176994664,,,0,OGLE4-GSEP-full\phot\I\LMC563.20.6638.dat,OGLE4-GSEP-full\phot\V\LMC563.20.6638.dat,337,16.529979228486646,16.53,16.530101308724053,0.018651156497351877,0.012000000000000455,0.06099999999999994,29,17.649206896551725,17.652,17.649417474934335,0.02257270682917874,0.015000000000000568,0.07559999999999789,1.1192276680650792,1.1219999999999999,1.1193161662102824,0.24917356039367453,-0.6034980422067392,4.013266890837371,0.19398884575986824,0.0033267498049889795,-2.4779798599062057
