PC1,PC2,class_grouped,id,type,misclassified_best_model
-4.270881616504055,-1.7583877181362813,LPV,LMC571.24.4629,LPV,False
3.4958711574699155,-6.10813138458278,LPV,LMC571.24.14,LPV,False
-2.642444068729436,0.10439883285777452,LPV,LMC562.09.87,LPV,False
-2.7008722094224824,-0.5522453288357952,BINARY,LMC571.32.5675,ECL,False
8.798682422680415,13.496331031533886,LPV,LMC570.16.37,LPV,False
-2.698014044251377,-0.5121167134360759,BINARY,LMC562.01.9036,ECL,False
8.71053495206797,12.037826399514191,LPV,LMC562.01.31,LPV,False
-2.907249650310901,-0.3541853176814803,BINARY,LMC562.09.2412,ECL,False
11.175161495947801,16.495255114548836,LPV,LMC570.25.5815,LPV,False
-2.902988422144351,-0.3707123643848488,BINARY,LMC571.32.5601,ECL,False
-3.1744275090570326,-1.8096257006002034,LPV,LMC562.09.23,LPV,False
26.820915003008363,-14.317682874734187,LPV,LMC562.18.7978,LPV,False
-2.2914328024867876,-0.8725774759549589,PULS,LMC563.08.7104,RRLYR,False
-5.645854955186984,-3.012502907519016,LPV,LMC563.17.42,LPV,False
-3.1167970349233296,-0.4451142023933191,LPV,LMC562.09.8186,LPV,False
-4.725127937954203,-2.264896771724949,LPV,LMC571.24.23,LPV,False
-4.240556117057969,-1.7254211952173113,LPV,LMC571.24.30,LPV,False
-0.9955781513690503,2.1335548598031906,LPV,LMC562.09.8199,LPV,False
3.521221905995345,7.451695768894828,LPV,LMC562.18.8009,LPV,False
8.365919460413497,13.195031105509466,LPV,LMC570.25.16,LPV,False
9.940096264948952,14.978211892278111,LPV,LMC562.18.31,LPV,False
-2.682932785660971,-2.8004189299349864,LPV,LMC571.24.4634,LPV,False
22.450436605180588,-24.656031208122833,LPV,LMC562.01.7890,LPV,False
-1.3322145864031052,-1.7034201911894575,PULS,LMC562.01.857,RRLYR,False
6.26064018860725,10.758151603269456,LPV,LMC562.18.3,LPV,False
-2.7628743609229782,-0.4641019971579956,BINARY,LMC563.17.3,ECL,True
-0.9159467417521292,0.4359702915969069,LPV,LMC562.01.11,LPV,False
-2.7441251598302685,-0.5154701300455508,BINARY,LMC570.25.211,ELL,False
-3.3058210027790116,-0.46138150362182523,LPV,LMC563.17.29,LPV,False
-5.047794076554412,-2.7123381373929716,LPV,LMC562.09.8208,LPV,False
-2.296058165960785,-0.8501508484773135,PULS,LMC563.17.6579,RRLYR,False
-2.7780686220679507,-0.5286080543737961,BINARY,LMC562.26.10622,ECL,False
-3.5354118283133857,-4.875594722054901,LPV,LMC562.01.57,LPV,False
20.595885573412318,-24.229566679863424,LPV,LMC562.01.47,LPV,False
11.803024952791631,-2.101455136498527,LPV,LMC562.01.7879,LPV,False
11.908613073836417,15.632722169675198,LPV,LMC562.26.50,LPV,False
2.3133898284075043,5.897263828636949,LPV,LMC562.26.46,LPV,False
-2.388131726215573,-0.7868897528899265,BINARY,LMC562.09.1141,ECL,False
-1.883565562529279,-1.2069395339591653,PULS,LMC562.26.1182,RRLYR,False
-1.3664421906797302,-1.6833468271935157,PULS,LMC562.01.1170,RRLYR,False
